"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
6	0.885663327261688	5	5	"Heart"	0
7	0.834620334620335	5	5	"Heart"	0
8	0.791461988304094	5	5	"Heart"	0
9	0.86408247108947	5	5	"Heart"	0
10	0.866575591985428	5	5	"Heart"	0
11	0.880246629901961	5	5	"Heart"	0
12	0.830923076923077	5	5	"Heart"	0
13	0.881527018822101	5	5	"Heart"	0
14	0.871900826446281	5	5	"Heart"	0
15	0.873606237816764	5	5	"Heart"	0
16	0.911022727272727	5	5	"Heart"	0
17	0.817207964266788	5	5	"Heart"	0
18	0.905978969990022	5	5	"Heart"	0
19	0.857885482761257	5	5	"Heart"	0
20	0.890862173649059	5	5	"Heart"	0
21	0.888364417837133	5	5	"Heart"	0
22	0.833862794039785	5	5	"Heart"	0
23	0.846513605442177	5	5	"Heart"	0
24	0.869597325870647	5	5	"Heart"	0
25	0.872631578947368	5	5	"Heart"	0
26	0.861256743408556	5	5	"Heart"	0
27	0.898466833541927	5	5	"Heart"	0
28	0.844078540507112	5	5	"Heart"	0
29	0.87128904736067	5	5	"Heart"	0
30	0.857625297413462	5	5	"Heart"	0
1	0.826370460232012	6	6	"Heart"	0
2	0.843203993646471	6	6	"Heart"	0
3	0.88036171574904	6	6	"Heart"	0
4	0.857613357843137	6	6	"Heart"	0
5	0.875340496368039	6	6	"Heart"	0
6	0.842971428571429	6	6	"Heart"	0
7	0.854042322300597	6	6	"Heart"	0
8	0.82901534428252	6	6	"Heart"	0
9	0.858092350746269	6	6	"Heart"	0
10	0.80438112745098	6	6	"Heart"	0
11	0.833525212986415	6	6	"Heart"	0
12	0.894391317547055	6	6	"Heart"	0
13	0.85538752362949	6	6	"Heart"	0
14	0.807301539161422	6	6	"Heart"	0
15	0.865837067861716	6	6	"Heart"	0
16	0.853460972017673	6	6	"Heart"	0
17	0.792113061317529	6	6	"Heart"	0
18	0.829002355444115	6	6	"Heart"	0
19	0.853331815421979	6	6	"Heart"	0
20	0.85396378575776	6	6	"Heart"	0
21	0.853392599346554	6	6	"Heart"	0
22	0.86158781694496	6	6	"Heart"	0
23	0.881164045285313	6	6	"Heart"	0
24	0.862662411670846	6	6	"Heart"	0
25	0.798995739500913	6	6	"Heart"	0
26	0.803149606299213	6	6	"Heart"	0
27	0.856135183319123	6	6	"Heart"	0
28	0.839799749687109	6	6	"Heart"	0
29	0.852676205617382	6	6	"Heart"	0
30	0.817954355902646	6	6	"Heart"	0
1	0.821417729204614	7	7	"Heart"	0
2	0.795902014652015	7	7	"Heart"	0
3	0.785909920876446	7	7	"Heart"	0
4	0.797882797731569	7	7	"Heart"	0
5	0.815104766290583	7	7	"Heart"	0
6	0.805310407790627	7	7	"Heart"	0
7	0.802417153996101	7	7	"Heart"	0
8	0.788116250760803	7	7	"Heart"	0
9	0.738133333333333	7	7	"Heart"	0
10	0.757188256658596	7	7	"Heart"	0
11	0.831053871286376	7	7	"Heart"	0
12	0.831115384615385	7	7	"Heart"	0
13	0.804533888503354	7	7	"Heart"	0
14	0.747121212121212	7	7	"Heart"	0
15	0.761423076923077	7	7	"Heart"	0
16	0.793969459731804	7	7	"Heart"	0
17	0.752028205322617	7	7	"Heart"	0
18	0.819012307927528	7	7	"Heart"	0
19	0.755763744313363	7	7	"Heart"	0
20	0.733720841881316	7	7	"Heart"	0
21	0.868703066332916	7	7	"Heart"	0
22	0.822153540903541	7	7	"Heart"	0
23	0.822351959966639	7	7	"Heart"	0
24	0.770366638245097	7	7	"Heart"	0
25	0.766774891774892	7	7	"Heart"	0
26	0.795419963481436	7	7	"Heart"	0
27	0.836436170212766	7	7	"Heart"	0
28	0.747228805137222	7	7	"Heart"	0
29	0.842984068627451	7	7	"Heart"	0
30	0.811133879781421	7	7	"Heart"	0
1	0.773714285714286	8	8	"Heart"	0
2	0.799270072992701	8	8	"Heart"	0
3	0.78092744383728	8	8	"Heart"	0
4	0.823940940012369	8	8	"Heart"	0
5	0.808646214896215	8	8	"Heart"	0
6	0.797300362976406	8	8	"Heart"	0
7	0.831679714750794	8	8	"Heart"	0
8	0.796698998748436	8	8	"Heart"	0
9	0.756517085849706	8	8	"Heart"	0
10	0.820109491865217	8	8	"Heart"	0
11	0.712533333333333	8	8	"Heart"	0
12	0.73992380952381	8	8	"Heart"	0
13	0.770384615384615	8	8	"Heart"	0
14	0.822223083481901	8	8	"Heart"	0
15	0.818444931163955	8	8	"Heart"	0
16	0.775271801989359	8	8	"Heart"	0
17	0.832875457875458	8	8	"Heart"	0
18	0.73972915398661	8	8	"Heart"	0
19	0.799868918189529	8	8	"Heart"	0
20	0.752647619047619	8	8	"Heart"	0
21	0.83167553396561	8	8	"Heart"	0
22	0.788280712483755	8	8	"Heart"	0
23	0.757994643982357	8	8	"Heart"	0
24	0.803228021978022	8	8	"Heart"	0
25	0.737682165163081	8	8	"Heart"	0
26	0.787630915067655	8	8	"Heart"	0
27	0.745995696868276	8	8	"Heart"	0
28	0.81567380896319	8	8	"Heart"	0
29	0.752814972611077	8	8	"Heart"	0
30	0.769807692307692	8	8	"Heart"	0
1	0.821275946275946	9	9	"Heart"	0
2	0.743040935672515	9	9	"Heart"	0
3	0.771686328938237	9	9	"Heart"	0
4	0.668822276323798	9	9	"Heart"	0
5	0.832532361832416	9	9	"Heart"	0
6	0.786967702896906	9	9	"Heart"	0
7	0.828569262264008	9	9	"Heart"	0
8	0.694271150334754	9	9	"Heart"	0
9	0.830857142857143	9	9	"Heart"	0
10	0.752624771758977	9	9	"Heart"	0
11	0.750833333333333	9	9	"Heart"	0
12	0.759141494435612	9	9	"Heart"	0
13	0.799403715312285	9	9	"Heart"	0
14	0.815153846153846	9	9	"Heart"	0
15	0.786373260738052	9	9	"Heart"	0
16	0.790403844663204	9	9	"Heart"	0
17	0.808555453431373	9	9	"Heart"	0
18	0.789744981009224	9	9	"Heart"	0
19	0.739678202792957	9	9	"Heart"	0
20	0.750663431647585	9	9	"Heart"	0
21	0.744370054777845	9	9	"Heart"	0
22	0.792757151552039	9	9	"Heart"	0
23	0.715534200968523	9	9	"Heart"	0
24	0.700264084507042	9	9	"Heart"	0
25	0.752891052951917	9	9	"Heart"	0
26	0.809879444992039	9	9	"Heart"	0
27	0.779082136615759	9	9	"Heart"	0
28	0.854158768670862	9	9	"Heart"	0
29	0.724931527693244	9	9	"Heart"	0
30	0.764437806372549	9	9	"Heart"	0
1	0.856213599576431	10	10	"Heart"	0
2	0.804576376004947	9	10	"Heart"	0
3	0.833064701819019	10	10	"Heart"	0
4	0.773616264687693	10	10	"Heart"	0
5	0.737484875983061	10	10	"Heart"	0
6	0.707076923076923	10	10	"Heart"	0
7	0.72924579489962	10	10	"Heart"	0
8	0.750953907203907	10	10	"Heart"	0
9	0.805974675866252	10	10	"Heart"	0
10	0.76253778776839	10	10	"Heart"	0
11	0.772379787478022	10	10	"Heart"	0
12	0.771164325734899	10	10	"Heart"	0
13	0.807613403236836	10	10	"Heart"	0
14	0.761346387370977	10	10	"Heart"	0
15	0.779372653316646	10	10	"Heart"	0
16	0.784013605442177	10	10	"Heart"	0
17	0.724062310949788	10	10	"Heart"	0
18	0.818966828971394	10	10	"Heart"	0
19	0.753423615337797	10	10	"Heart"	0
20	0.769783893034826	10	10	"Heart"	0
21	0.845615778610198	10	10	"Heart"	0
22	0.80632380952381	10	10	"Heart"	0
23	0.82241881127451	10	10	"Heart"	0
24	0.760530303030303	10	10	"Heart"	0
25	0.772083333333333	10	10	"Heart"	0
26	0.722739361702128	10	10	"Heart"	0
27	0.792878787878788	10	10	"Heart"	0
28	0.822434569038299	10	10	"Heart"	0
29	0.805577284105131	10	10	"Heart"	0
30	0.791846153846154	10	10	"Heart"	0
1	0.813333333333333	11	11	"Heart"	0
2	0.842381101376721	11	11	"Heart"	0
3	0.770048161455546	11	11	"Heart"	0
4	0.766813755325624	11	11	"Heart"	0
5	0.764614427860697	11	11	"Heart"	0
6	0.771258503401361	11	11	"Heart"	0
7	0.757361870066788	11	11	"Heart"	0
8	0.76119459623558	11	11	"Heart"	0
9	0.769790362953692	11	11	"Heart"	0
10	0.770511934914422	11	11	"Heart"	0
11	0.789930146770269	11	11	"Heart"	0
12	0.810459346991037	10	11	"Heart"	0
13	0.832	11	11	"Heart"	0
14	0.77773922430411	11	11	"Heart"	0
15	0.835382513661202	11	11	"Heart"	0
16	0.751089366256402	11	11	"Heart"	0
17	0.822278911564626	11	11	"Heart"	0
18	0.791060606060606	11	11	"Heart"	0
19	0.757036924939467	11	11	"Heart"	0
20	0.759882478632479	11	11	"Heart"	0
21	0.759727328431373	11	11	"Heart"	0
22	0.760747592690879	11	11	"Heart"	0
23	0.751232087345515	11	11	"Heart"	0
24	0.756249522207782	11	11	"Heart"	0
25	0.749216420762939	11	11	"Heart"	0
26	0.772292612957208	11	11	"Heart"	0
27	0.769	11	11	"Heart"	0
28	0.807415270301008	11	11	"Heart"	0
29	0.765311530017412	11	11	"Heart"	0
30	0.825819672131147	11	11	"Heart"	0
1	0.778398298001672	12	12	"Heart"	0
2	0.805447914292227	12	12	"Heart"	0
3	0.761752380952381	12	12	"Heart"	0
4	0.815202782828682	11	12	"Heart"	0
5	0.779024650030432	12	12	"Heart"	0
6	0.789744981009224	12	12	"Heart"	0
7	0.777358058608059	12	12	"Heart"	0
8	0.820213248638838	12	12	"Heart"	0
9	0.802562741678672	11	12	"Heart"	0
10	0.823752006727314	12	12	"Heart"	0
11	0.751966122202057	12	12	"Heart"	0
12	0.809136420525657	12	12	"Heart"	0
13	0.771844660194175	12	12	"Heart"	0
14	0.813852813852814	12	12	"Heart"	0
15	0.806419865243395	12	12	"Heart"	0
16	0.773697137155576	12	12	"Heart"	0
17	0.852389594676346	12	12	"Heart"	0
18	0.730692918192918	12	12	"Heart"	0
19	0.762859965048249	12	12	"Heart"	0
20	0.731341575091575	12	12	"Heart"	0
21	0.797015961138099	12	12	"Heart"	0
22	0.766933333333333	12	12	"Heart"	0
23	0.803266178266178	12	12	"Heart"	0
24	0.770204927469491	12	12	"Heart"	0
25	0.760777170613236	12	12	"Heart"	0
26	0.813301282051282	11	12	"Heart"	0
27	0.793142857142857	12	12	"Heart"	0
28	0.834287240537241	12	12	"Heart"	0
29	0.757904761904762	12	12	"Heart"	0
30	0.761603860294118	12	12	"Heart"	0
1	0.801550094517958	13	13	"Heart"	0
2	0.750612745098039	13	13	"Heart"	0
3	0.790326286764706	13	13	"Heart"	0
4	0.753317158237926	13	13	"Heart"	0
5	0.79441201000834	13	13	"Heart"	0
6	0.811177428106348	13	13	"Heart"	0
7	0.834883896830799	12	13	"Heart"	0
8	0.774253731343284	12	13	"Heart"	0
9	0.812878100423473	13	13	"Heart"	0
10	0.790971428571429	13	13	"Heart"	0
