"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
2	0.915342777637238	4	4	"Churn"	"Yes"	0.1
3	0.860962906504065	4	4	"Churn"	"Yes"	0.1
4	0.864301108374384	4	4	"Churn"	"Yes"	0.1
5	0.918243538670812	4	4	"Churn"	"Yes"	0.1
6	0.87889865915274	4	4	"Churn"	"Yes"	0.1
7	0.884411954915004	4	4	"Churn"	"Yes"	0.1
8	0.919607117629251	4	4	"Churn"	"Yes"	0.1
9	0.87181368054282	4	4	"Churn"	"Yes"	0.1
10	0.887455062184221	4	4	"Churn"	"Yes"	0.1
11	0.872673903411608	4	4	"Churn"	"Yes"	0.1
12	0.920642549962054	4	4	"Churn"	"Yes"	0.1
13	0.886003016591252	4	4	"Churn"	"Yes"	0.1
14	0.918977936588963	4	4	"Churn"	"Yes"	0.1
15	0.902628459875898	4	4	"Churn"	"Yes"	0.1
16	0.868870669433418	4	4	"Churn"	"Yes"	0.1
17	0.88871237458194	4	4	"Churn"	"Yes"	0.1
18	0.909227368077276	4	4	"Churn"	"Yes"	0.1
19	0.890688516260163	4	4	"Churn"	"Yes"	0.1
20	0.916080339321357	4	4	"Churn"	"Yes"	0.1
21	0.858883113097551	4	4	"Churn"	"Yes"	0.1
22	0.89811161387632	4	4	"Churn"	"Yes"	0.1
23	0.895263938778697	4	4	"Churn"	"Yes"	0.1
24	0.839357537405481	4	4	"Churn"	"Yes"	0.1
25	0.826743575699484	4	4	"Churn"	"Yes"	0.1
26	0.887078220858896	4	4	"Churn"	"Yes"	0.1
27	0.895017834942545	4	4	"Churn"	"Yes"	0.1
28	0.881441930618401	4	4	"Churn"	"Yes"	0.1
29	0.86555917405765	4	4	"Churn"	"Yes"	0.1
30	0.846364008078605	4	4	"Churn"	"Yes"	0.1
1	0.899136178861789	5	5	"Churn"	"Yes"	0.1
2	0.874263972055888	5	5	"Churn"	"Yes"	0.1
3	0.900267070349038	5	5	"Churn"	"Yes"	0.1
4	0.897819660014782	5	5	"Churn"	"Yes"	0.1
5	0.886215538847118	5	5	"Churn"	"Yes"	0.1
6	0.879886602758943	5	5	"Churn"	"Yes"	0.1
7	0.930489617800796	5	5	"Churn"	"Yes"	0.1
8	0.924904709606564	5	5	"Churn"	"Yes"	0.1
9	0.878702865761689	5	5	"Churn"	"Yes"	0.1
10	0.883767963431879	5	5	"Churn"	"Yes"	0.1
11	0.931932948097246	5	5	"Churn"	"Yes"	0.1
12	0.89397403917221	5	5	"Churn"	"Yes"	0.1
13	0.864152241201422	5	5	"Churn"	"Yes"	0.1
14	0.92942383107089	5	5	"Churn"	"Yes"	0.1
15	0.920730015082956	5	5	"Churn"	"Yes"	0.1
16	0.882931713935009	5	5	"Churn"	"Yes"	0.1
17	0.886690007461402	5	5	"Churn"	"Yes"	0.1
18	0.866828998600181	5	5	"Churn"	"Yes"	0.1
19	0.889458351316357	5	5	"Churn"	"Yes"	0.1
20	0.840233686067019	5	5	"Churn"	"Yes"	0.1
21	0.901375101903803	5	5	"Churn"	"Yes"	0.1
22	0.871661931818182	5	5	"Churn"	"Yes"	0.1
23	0.92399812862294	5	5	"Churn"	"Yes"	0.1
24	0.888049052396878	5	5	"Churn"	"Yes"	0.1
25	0.885434782608696	5	5	"Churn"	"Yes"	0.1
26	0.896844550703717	5	5	"Churn"	"Yes"	0.1
27	0.851314209164819	5	5	"Churn"	"Yes"	0.1
28	0.895399407734149	5	5	"Churn"	"Yes"	0.1
29	0.890087757157244	5	5	"Churn"	"Yes"	0.1
30	0.89777117384844	5	5	"Churn"	"Yes"	0.1
1	0.888151387370503	6	6	"Churn"	"Yes"	0.1
2	0.88687899735125	6	6	"Churn"	"Yes"	0.1
3	0.916804018522879	6	6	"Churn"	"Yes"	0.1
4	0.872235466715569	6	6	"Churn"	"Yes"	0.1
5	0.876757125548458	6	6	"Churn"	"Yes"	0.1
6	0.892980691874497	6	6	"Churn"	"Yes"	0.1
7	0.912440814393939	6	6	"Churn"	"Yes"	0.1
8	0.838196058748943	6	6	"Churn"	"Yes"	0.1
9	0.918518918141275	6	6	"Churn"	"Yes"	0.1
10	0.90997771890346	6	6	"Churn"	"Yes"	0.1
11	0.927353003981862	6	6	"Churn"	"Yes"	0.1
12	0.871884841845817	6	6	"Churn"	"Yes"	0.1
13	0.892125460049491	6	6	"Churn"	"Yes"	0.1
14	0.88540864356012	6	6	"Churn"	"Yes"	0.1
15	0.905682232286949	6	6	"Churn"	"Yes"	0.1
16	0.897289357553366	6	6	"Churn"	"Yes"	0.1
17	0.88665986047303	6	6	"Churn"	"Yes"	0.1
18	0.874018665762269	6	6	"Churn"	"Yes"	0.1
19	0.927850612996953	6	6	"Churn"	"Yes"	0.1
20	0.893321056266237	6	6	"Churn"	"Yes"	0.1
21	0.882226486591527	6	6	"Churn"	"Yes"	0.1
22	0.935997536802723	6	6	"Churn"	"Yes"	0.1
23	0.908256605764159	6	6	"Churn"	"Yes"	0.1
24	0.901396118979833	6	6	"Churn"	"Yes"	0.1
25	0.894730130198212	6	6	"Churn"	"Yes"	0.1
26	0.901566519862207	6	6	"Churn"	"Yes"	0.1
